GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
15777,5199770,3281200211,525742851, 'Exact sequence & title match',End of A Friendship?, 'End of a Friendship?',|['End of a Friendship?',8205087,8205087,,,,,,,Pass,Pass
15777,709298,1003102882,525742851, 'Exact sequence & title match',The House Sitters, 'The House Sitters',|['The House Sitters',8199671,8199671,,,,,,,Pass,Pass
15777,3459175,1423297625,525742851, 'Exact sequence & title match',Indecent Exposure, 'Indecent Exposure',|['Indecent Exposure',8202242,8202242,,,,,,,Pass,Pass
15777,4328774,1686159756,525742851, 'Exact sequence & title match',She Said She Said, 'She Said She Said',|['She Said She Said',8202995,8202995,,,,,,,Pass,Pass
15777,8786998,6469277879,525742851, 'Exact sequence & title match',This Is My House, 'This Is My House',|['This Is My House',8209662,8209662,,,,,,,Pass,Pass
15777,5312149,3332917839,525742851, 'Exact sequence & title match',Rocky Road To Recovery, 'Rocky Road to Recovery',|['Rocky Road to Recovery',8205452,8205452,,,,,,,Pass,Pass
15777,4328777,1703437971,525742851, 'Exact sequence & title match',Eat Your Heart Out, 'Eat Your Heart Out',|['Eat Your Heart Out',8203111,8203111,,,,,,,Pass,Pass
15777,1273545,1223562367,525742851, 'Exact sequence & title match',Cross Country Catastrophe, 'Cross Country Catastrophe',|['Cross Country Catastrophe',8201469,8201469,,,,,,,Pass,Pass
15777,5231772,3332914650,525742851, 'Exact sequence & title match',Hart of the Matter, 'Hart of the Matter',|['Hart of the Matter',8205176,8205176,,,,,,,Pass,Pass
15777,4449361,1748416118,525742851, 'Exact sequence & title match',Tea Mode, 'Tea Mode',|['Tea Mode',8203378,8203378,,,,,,,Pass,Pass
15777,443588,792824852,525742851, 'sequence & title match',Summer Slam, 'SummerSlam',|['SummerSlam',8198498,8198498,,,,,,,Pass,Pass
15777,6314078,4133214919,525742851, 'Exact sequence & title match',Total Superstars, 'Total Superstars',|['Total Superstars',8206047,8206047,,,,,,,Pass,Pass
15777,4449363,1743280462,525742851, 'Exact sequence & title match',Good Diva Bad Diva, 'Good Diva Bad Diva',|['Good Diva Bad Diva',8203297,8203297,,,,,,,Pass,Pass
15777,4535370,1778615146,525742851, 'Exact sequence & title match',It's a Beautiful Life?," ""It's a Beautiful Life?""","|[""It's a Beautiful Life?""",8203659,8203659,,,,,,,Pass,Pass
15777,6973284,4750158882,525742851, 'Exact sequence & title match',Swimming With Pigs, 'Swimming With Pigs',|['Swimming With Pigs',8208189,8208189,,,,,,,Pass,Pass
15777,4590074,1800598531,525742851, 'Exact sequence & title match',Gone with the Wine, 'Gone With the Wine',|['Gone With the Wine',8203888,8203888,,,,,,,Pass,Pass
15777,4639793,1814222460,525742851, 'Exact sequence & title match',An Unwanted Proposal, 'An Unwanted Proposal',|['An Unwanted Proposal',8203965,8203965,,,,,,,Pass,Pass
15777,4664154,1828637394,525742851, 'Exact sequence & title match',Some Like It Hot, 'Some Like It Hot',|['Some Like It Hot',8204075,8204075,,,,,,,Pass,Pass
15777,5134520,3253997198,525742851, 'Exact sequence & title match',Talk of The Town, 'Talk of the Town',|['Talk of the Town',8204800,8204800,,,,,,,Pass,Pass
15777,5147944,3207629846,525742851, 'Exact sequence & title match',A SummerSlam Engagement, 'A SummerSlam Engagement',|['A SummerSlam Engagement',8204499,8204499,,,,,,,Pass,Pass
15777,5320943,3332919639,525742851, 'Exact sequence & title match',No Retreat, 'No Retreat',|['No Retreat',8205550,8205550,,,,,,,Pass,Pass
15777,5177608,3284914056,525742851, 'Exact sequence & title match',Come Reign or Shine, 'Come Reign or Shine',|['Come Reign or Shine',8204946,8204946,,,,,,,Pass,Pass
15777,5261779,3332917813,525742851, 'Exact sequence & title match',Peace of Cake, 'Peace of Cake',|['Peace of Cake',8205292,8205292,,,,,,,Pass,Pass
15777,5353176,3417893385,525742851, 'Exact sequence & title match',Baby Talk, 'Baby Talk',|['Baby Talk',8205755,8205755,,,,,,,Pass,Pass
15777,7848692,5553255190,525742851, 'Exact sequence & title match',Divas Gone Wild, 'Divas Gone Wild',|['Divas Gone Wild',8208859,8208859,,,,,,,Pass,Pass
15777,476053,815007495,525742851, 'Exact sequence & title match',Get That Chingle Chingle, 'Get That Chingle Chingle',|['Get That Chingle Chingle',8198655,8198655,,,,,,,Pass,Pass
15777,6314079,4229771470,525742851, 'Exact sequence & title match',Orlando Strong, 'Orlando Strong',|['Orlando Strong',8206161,8206161,,,,,,,Pass,Pass
15777,7848535,5536123158,525742851, 'Exact sequence & title match',The Bella Rush, 'The Bella Rush',|['The Bella Rush',8208809,8208809,,,,,,,Pass,Pass
15777,6390023,4250938832,525742851, 'Exact sequence & title match',A Big Flippin' Deal," ""A Big Flippin' Deal""","|[""A Big Flippin' Deal""",8206321,8206321,,,,,,,Pass,Pass
15777,6417203,4279938329,525742851, 'Exact sequence & title match',Gone Girl, 'Gone Girl',|['Gone Girl',8206405,8206405,,,,,,,Pass,Pass
15777,422457,689823479,525742851, 'sequence & title match',The 'Fat' Twin," 'The ""Fat"" Twin'","|['The ""Fat"" Twin'",8198229,8198229,,,,,,,Pass,Pass
15777,6478689,4369109187,525742851, 'Exact sequence & title match',A Win-Wine Situation, 'A Win-Wine Situation',|['A Win-Wine Situation',8206785,8206785,,,,,,,Pass,Pass
