GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
25011,3465286,1547473469,1547364118, 'Exact sequence & title match',Love Strays, 'Love Strays',|['Ai wa samay\xc5\x8d',9435329,9435329,,,,,,,Pass,Pass
25011,3409274,1547473465,1547364118, 'Exact sequence & title match',Love Training Camp and Toothbrushes, 'Love Training Camp and Toothbrushes',|['Ai to gasshuku to haburashi',9435213,9435213,,,,,,,Pass,Pass
25011,2974363,1547466920,1547364118, 'Exact sequence & title match',In the Name of Love, 'In the Name of Love',|['Ai to iu na no moto ni',9434819,9434819,,,,,,,Pass,Pass
25011,3032402,1547471849,1547364118, 'Exact sequence & title match',Love Has No Regrets, 'Love Has No Regrets',|['Ai towa keshite koukai shinai koto',9434936,9434936,,,,,,,Pass,Pass
25011,3525215,1547473471,1547364118, 'Exact sequence & title match',Love Is Stronger Than Pride, 'Love Is Stronger Than Pride',|['Ai wa puraido yori tsuyoi',9435405,9435405,,,,,,,Pass,Pass
25011,3288460,1547471857,1547364118, 'Exact sequence & title match',Love Speaks Without Words, 'Love Speaks Without Words',|['Ai wa sena de kataru mono',9435130,9435130,,,,,,,Pass,Pass
25011,3100771,1547471851,1547364118, 'Exact sequence & title match',Love Narcissist!, 'Love Narcissist!',|['Aiseyo narushisu!',9434990,9434990,,,,,,,Pass,Pass
25011,3172523,1547471853,1547364118, 'Exact sequence & title match',Love and the Youthful Pretty Boy, 'Love and the Youthful Pretty Boy',|['Ai to seishun no bish\xc5\x8dnen',9435049,9435049,,,,,,,Pass,Pass
25011,3629026,1547473475,1547364118, 'Exact sequence & title match',The Ordeal Called Love, 'The Ordeal Called Love',|['Ai to iu na no shiren',9435509,9435509,,,,,,,Pass,Pass
25011,3679038,1547473477,1547364118, 'Exact sequence & title match',Love Forever, 'Love Forever',|['Ai yo eien ni',9435580,9435580,,,,,,,Pass,Pass
25011,3225579,1547471855,1547364118, 'Exact sequence & title match',Love Is Freely Stolen, 'Love Is Freely Stolen',|['Ai wa oshiminaku ubau',9435085,9435085,,,,,,,Pass,Pass
25021,3204931,1402475709,1367267074, 'Exact sequence & title match',Last Mann Standing, 'Last Mann Standing',|['Last Mann Standing',9275617,9275617,,,,,,,Pass,Pass
25021,3146043,1391263853,1367267074, 'Exact sequence & title match',Mann of the Hour, 'Mann of the Hour',|['Mann of the Hour',9275563,9275563,,,,,,,Pass,Pass
25021,5256409,3283519897,1367267074, 'Exact sequence & title match',Mann of the Kitchen, 'Mann of the Kitchen',|['Mann of the Kitchen',9276148,9276148,,,,,,,Pass,Pass
25021,3053697,1381995508,1367267074, 'Exact sequence & title match',The Mann Games, 'The Mann Games',|['The Mann Games',9275439,9275439,,,,,,,Pass,Pass
25021,2995024,1367267076,1367267074, 'Exact sequence & title match',It's A Mann's World," ""It's a Mann's World""","|[""It's a Mann's World""",9275313,9275313,,,,,,,Pass,Pass
25021,3378041,1422459260,1367267074, 'Exact sequence & title match',Tamela's Big Test," ""Tamela's Big Test""","|[""Tamela's Big Test""",9275822,9275822,,,,,,,Pass,Pass
25021,3479991,1438388847,1367267074, 'Exact sequence & title match',Mann of the House, 'Mann of the House',|['Mann of the House',9275954,9275954,,,,,,,Pass,Pass
25021,3421003,1422459250,1367267074, 'Exact sequence & title match',Mann Family Talent Show, 'Mann Family Talent Show',|['Mann Family Talent Show',9275682,9275682,,,,,,,Pass,Pass
25021,5259147,3283519899,1367267074, 'Exact sequence & title match',Best Mann, 'Best Mann',|['Best Mann',9276257,9276257,,,,,,,Pass,Pass
25046,8304410,6001491174,1130658346, 'Exact sequence & title match',Love and Obsession, 'Love and Obsession',|['Love and Obsession',8969171,8969171,,,,,,,Pass,Pass
25046,5246762,3271769162,1130658346, 'Exact sequence & title match',Love's Deadly Harness," ""Love's Deadly Harness""","|[""Love's Deadly Harness""",8965978,8965978,,,,,,,Pass,Pass
25046,8259646,5960775538,1130658346, 'title match only',An Inconvenient Murder, 'An Inconvenient Murder',|['An Inconvenient Murder',8969043,8969043,,,,,,,Pass,Pass
25046,3676028,1456183942,1130658346, 'Exact sequence & title match',Presumed Guilty, 'Presumed Guilty',|['Presumed Guilty',8964565,8964565,,,,,,,Pass,Pass
25046,5142756,3199574811,1130658346, 'Exact sequence & title match',Code of Dishonor, 'Code of Dishonor',|['Code of Dishonor',8965603,8965603,,,,,,,Pass,Pass
25046,5074343,3191855547,1130658346, 'Exact sequence & title match',Nightmare on Elwood Avenue, 'Nightmare on Elwood Avenue',|['Nightmare on Elwood Avenue',8965126,8965126,,,,,,,Pass,Pass
25046,6746380,4468228375,1130658346, 'Exact sequence & title match',Grounds for Murder, 'Grounds for Murder',|['Grounds for Murder',8966950,8966950,,,,,,,Pass,Pass
25046,3626524,1446669506,1130658346, 'Exact sequence & title match',The White House Boys, 'The White House Boys',|['The White House Boys',8965021,8965021,,,,,,,Pass,Pass
25046,3170982,1378743274,1130658346, 'title match only',The Lady Vanishes, 'The Lady Vanishes',|['The Lady Vanishes',8965399,8965399,,,,,,,Pass,Pass
25046,3287321,1398110753,1130658346, 'title match only',The Counterfeit Rockefeller, 'The Counterfeit Rockefeller',|['The Counterfeit Rockefeller',8964156,8964156,,,,,,,Pass,Pass
25046,3099365,1369032033,1130658346, 'title match only',Prisoner of Denver, 'Prisoner of Denver',|['Prisoner of Denver',8964789,8964789,,,,,,,Pass,Pass
25046,8039720,5738828634,1130658346, 'Exact sequence & title match',Shadows on the Lawn, 'Shadows on the Lawn',|['Shadows on the Lawn',8968247,8968247,,,,,,,Pass,Pass
25046,5118502,3191883709,1130658346, 'Exact sequence & title match',The Killing Trail, 'The Killing Trail',|['The Killing Trail',8965279,8965279,,,,,,,Pass,Pass
